문제,답변,날짜,Person,범위
서버 사이드 렌더링의 장점은?,"• 최초 페이지 진입이 비교적 빠르다 :-> 일반적으로 서버에서 HTTP 요청을 수행하는 것이 더 빠르다 하지만 충분한 리소스가 확보돼 있지 않다면 오히려 SPA보다 느려질 수 있다.
• 검색 엔진과 SNS 공유 등 메타데이터 제공이 쉽다 :-> 검색 엔진 최적하에 유용하다 검색 엔진은 페이지의 정적인 정보를 가져오는 것이 목적이다.
• 검색 엔진은 어떻게 작동하는가 ? :
    1. 검색 엔진 로봇이 페이지에 진입한다.
    2. 페이지가 HTML 정보를 제공해 로봇이 이 HTML을 다운로드 한다. 단, 다운로드만 하고 자바스크립트 코드는 실행하지 않는다.
    3. 다운로드한 HTML 페이지 내부의 오픈 그래프나 메타 태그 정보를 기반으로 페이지의 검색(공유)정보를 가져오고 이를 바탕으로 검색 엔진에 저장한다.
• 누적 레이아웃 이동이 적다 :-> 누적 레이아웃이란 사용자에게 페이지를 보여준 이후에 뒤늦게 어떤 HTML 정보가 추가되거나 삭제되어 마치 화면이 덜컥거리는 것과 같은 부정적인 사용자 경험을 말한다. SSR은 요청이 완전히 완료된 이후에 완성된 페이지를 제공하기때문에 비교적 자유롭다.
• 사용자의 디바이스 성능에 비교적 자유롭다 :-> 자바스크립트 리소스 실행은 사용자의 디바이스에서만 실행되므로 절대적으로 사용자 디바이스 성능에 의존적이다. 그러나 서버 사이드 렌더링을 수행하면 이러한 부담을 서버에 나눌 수 있으므로 사용자의 디바이스 성능으로부터 조금 더자유로워질 수 있다.
• 보안에 좀 더 안전하다-> JAM 스택을 채택한 프로젝트의 공통적인 문제점은 애플리케이션의 모든 활동이 브라우저에 노출된다는것인 반면, SSR은 인증 혹은 민감한 작업을 서버에서 수행하고 그 결과만 브라우저에 제공하기 때문에 보안 위협을 피할 수 있다는 장점이 있다.",2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
서버 사이드 렌더링의 단점은?,"• 소스코드를 작성할 때 항상 서버를 고려해야 한다 :-> 가장 큰 문제인 브라우저 전역 객체인 window 또는 sessionStorage와 같이 브라우저에만 있는 전역객체를 접근할 수 없다, 외부에서 의존하고 있는 라이브러리도 고려해야한다.
• 적절한 서버가 구축돼 있어야 한다 :-> 서버를 구축하는 것은 절대 쉬운 일이 아니다.
• 서비스 지연에 따른 문제-> SSR은 서버에서 사용자에게 보여줄 페이지에 대한 렌더링 작업이 끝나기까지는 사용자에게 그 어떤 정보도 제공할 수 없다. 애플리케이션의 규모가 커지고 작업이 복잡해지고, 이에 따라 다양한 요청에 얽혀있어 병목 현상이 심해진다면 때로는 서버 사이드 렌더링이 더 안좋은 사용자 경험을 제공할 수도 있다.",2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
hydrate란?,"• 서버사이드 렌더링에서, 정적으로 생성된 HTML에 이벤트와 핸들러를 붙여 완전한 웹페이지 결과물을 만드는 것.",2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
hydrate는 어떤 가정하에 실행 되는가?,• 서버에서 제공해 준 HTML이 클라이언트의 결과물과 같을 것 이라는 가정하에 실행된다.,2024년 1월 8일,지찬 주,"3.2 사용자 정의 훅과 고차 컴포넌트 중 무엇을 써야 할까? ( p. 239 ) - 4.2 서버 사이드 렌더링을 위한 리액트 API 살펴보기 ( p. 293 ) "
_app.tsx와 _document.tsx의 차이는 ?,"• _app.tsx 가 애플리케이션 페이지 전체를 초기화하는 곳이라면, _document.tsx는 애플리케이션의 HTML을 초기화하는곳이다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
다이나믹 라우팅?,미리 정의된 URL 주소로만 라우팅하는 것이 아니라 사용자가 접근한 경로 혹은 상황에 따라 동적인 라우팅을 제공하고 싶을 때 사용할 수 있는 방식,2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
nextjs는 서버 라우팅과 클라이언트 라우팅이 혼재되어있는데 이에 따른 장점은?,"• SSR의 장점인 사용자가 빠르게 볼 수 있는 최초 페이지를 제공한다.
• SPA의 장점인 자연스러운 라우팅을 제공한다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
<Link> <a/> 태그의 차이,"• <Link>는 클라이언트 라우팅/렌더링방식이다.
• <a/>는 페이지를 만드는 데 필요한 모든 리소스를 처음부터 다 가져온다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
Next.js에서 페이지 이동시 지켜야하는 규칙,"• <a> 대신 <Link>를 사용한다.
• window.location.push 대신 router.push를 사용한다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
getStaticPaths가 하는 기능,"• 정적으로 결정된 페이지를 보여주고자 할 때 사용된다.
• 접근 가능한 주소를 정의하는 함수",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
getStaticProps가 하는 기능,"• 정적으로 결정된 페이지를 보여주고자 할 때 사용된다.
• 앞에서 정의한 페이지를 기준으로 해당 페이지로 요청이 왔을 때 제공할 props를 반환하는 함수",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
getServerSideProps란?,"• 서버에서 실행되는 함수이며 페이지 진입 전에 이 함수를 실행한다.
• 응답값에 따라 페이지의 루트 컴포넌트에 props를 반환할 수도, 다른 페이지로 리다이렉트 시킬 수도 있다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
getInitialProps란?,"• getStaticProps나 getServerSideProps가 나오기 전에 사용할 수 있었던 유일한 페이지 데이터 불러오기 수단
• 루트 함수에 정적 메서드로 추가된다.
• props 객체를 반환하는 것이 아니라 객체를 반환한다.
• 사용하기도 까다롭고 여러가지 주의할 점이 있으므로 가급적이면 Next.js의 특성상 사용이 제한돼 있는 페이지에서만 사용하는것이 좋다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
상태란?,"• 어떠한 의미를 지닌 값이며 애플리케이션의 시나리오에 따라 지속적으로 변경될 수 있는 값을 의미한다.
• UI : 기본적으로 웹 애플리케이션에서 상태라 함은 상호 작용이 가능한 모든 요소의 현재 값을 의미한다. 다크/라이트 모드, 라디오를 비롯한 각종 input, 알림창의 노출 여부 등 많은 종류의 상태가 존재한다.
• URL: 주소에 있는 상태값
• form : 로딩중인지, 현재 제출됏는지, 접근이 불가능한지, 유효한지 등등,
• 서버에서 가져온 값 : 클라이언트에서 서버로 요청을 통해 가져온 값도 상태다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
flux패턴 탄생 배경,• 양방향 데이터 통신의 상태 변화및 추적이 어려워 탄생하였다.,2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
단방향 데이터 흐름의 장단점,"• 데이터의 흐름을 추적하기 쉽고 코드를 이해하기가 한결 수월해진다.
• 사용자의 입력에 따라 데이터를 갱신하고 화면을 어떻게 업데이트해야 하는지도 코드로 작성해야 하므로 코드의 양이 많아지고 개발자도 수고로워진다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
flux패턴의 용어,"• 액션 : 어떠한 작업을 처리할 액션과 그 액션 발생 시 함께 포함시킬 데이터를 의미한다. 액션 타입과데이터를 각각 정의해 이를 디스패처로 보낸다.
• 디스패처: 액션을 스토어에 보내는 역할을 한다. 콜백 함수 형태로 앞서 액션이 정의한 타입과 데이터를 모두 스토어에 보낸다.
• 스토어: 여기에서 실제 상태에 따른 값과 상태를 변경할 수 있는 메서드를 가지고 있다. 액션의 타입에 따라 어떻게 이를 변경할지가 정의돼 있다.
• 뷰: 리액트의 컴포넌트에 해당하는 부분으로, 스토어에서 만들어진 데이터를 가져와 화면을 렌더링하는 역할을 한다. 또한 뷰에서도 사용자의 입력이나 행위에 따라 상태를 업데이트하고자 할 수 있을 것이다.",2024년 1월 9일,지찬 주,"4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
서버에서만 실행되는 함수의 제약,"• window, document 객체에는 접근 불가
• domain 없이 fetch 요청 불가능 (본인의 호스트 유추 불가능)
• 에러 발생 시 500과 같이 정의해둔 에러페이지로 리다이렉트",2024년 1월 9일,"JIN ","4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
전역 CSS 적용시키고 싶을 때 어느 파일에 하면 되는가?,_app.tsx,2024년 1월 9일,"JIN ","4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
"SWR, 리액트 쿼리의 특화점?",HTTP 요청에 특화되어 있다.,2024년 1월 9일,"JIN ","4.3 Next.js 톺아보기 ( p. 293 ) - 5.1 상태 관리는 왜 필요한가? ( p. 348 ) "
상태관리api가 작동하는 방식을 간단히 요약하자면,"• useState, useReducer가 가지고 있는 한계, 컴포넌트 내부에서만 사용할 수 있는 지역 상태라는 점을 극복하기 위해 외부 어딘가에 상태를둔다. 이는 컴포넌트의 최상단 내지는 상태가 필요한 부모가 될 수도 있고, 혹은 격리된 자바스크립트 스코프 어딘가일 수도 있다.
• 이 외부의 상태 변경을 각자의 방식으로 감지해 컴포넌트의 렌더링을 일으킨다.",2024년 1월 10일,지찬 주,5.2 리액트 훅으로 시작하는 상태 관리 ( p.349 - p. 399 )
Recoil의 특징,"• 리액트를 만든곳인 페이스북에서 만든 리액트를 위한 상태 관리 라이브러리이다.
• 최소 상태 개념인 Atom을 처음 리액트 생태계에서 선보이기도 했다.
• atom은 상태를 나타내는 Recoil의 최소 상태 단위다.
• 아직 정식으로 출시한 라이브러리가 아니다. 따라서 실제 프로덕션에 사용하기에는 안정성이나 성능, 사용성 등을 보장할 수 없으며, 유의적 버전에 따라 부(minor) 버전이 변경돼도 호환성이 깨지는 변경 사항이 발생할 수도 있는 위험이 있다. 그러나 실제 프로젝트에서 안정적으로 서비스 하고 있다는 이야기도 들려오기 때문에 Recoil을 실제 프로덕션에 채택할 것인지는 개발자의 선택에 달려 있다.
• Recoil을 사용하기 위해서는 RecoilRoot를 애플리케이션의 최상단에 선언해 둬야 한다.
• Recoil의 상태값은 RecoilRoot로 생성된 Context의 스토어에 저장된다,
• 스토어의 상태값에 접근할 수 있는 함수들이 있으며, 이 함수를 활용해 상태값에 접근하거나 상태값을 변경할 수 있다.
• 값의 변경이 발생하면 이를 참조하고 있는 하위 컴포넌트에 모두 알린다.
• selector를 사용해 한 개 이상의 atom값을 바탕으로 새로운 값을 조립할 수 있다.
• selector를 필두로 강력한 비동기 작업을 지원하기 위한 API도 지원한다.
• Recoil에서도 자체적인 개발 도구를 지원한다.",2024년 1월 10일,지찬 주,5.2 리액트 훅으로 시작하는 상태 관리 ( p.349 - p. 399 )
Jotai의 특징,"• Recoil의 atom 모델에 영감을 받아 만들어진 상태 관리 라이브러리다.
• 상향식 접근법을 취하고있다, 작은 단위의 상태를 위로 전파할 수 있는 구조를 취하고 있다.
• Context의 문제점인 불필요한 리렌더링이 일어난다는 문제를 해결하고자 설계돼 있으며, 추가적으로 개발자들이 메모이제이션이나 최적화를 거치지 않아도 리렌더링이 발생되지 않도록 설계돼 있다.
• Recoil과 다르게 Jotai는 atom을 생성할 때 별도의 key를 넘겨주지 않아도 된다.
• Recoil의 atom 개념을 도입하면서도 API가 간결하다. Recoil의 atom에서는 각 상태값이 모두 별도의 키를 필요로 하기 때문에 이 키를 별도로 관리해야 하는데. Jotai는 이러한 부분을 추상화해 사용자가 키를 관리할 필요가 없다. Jotai가 별도의 문자열 키가 없이도 각 값들을 관리할 수 있는 것은 객체의 참조를 통해 값을 관리하기 때문이다.
• selector없이 atom만으로 atom 값에서 또 다른 파생된 상태를 만들 수 있다.
• 타입스크립트로 작성돼 있어 타입을 잘 지원하고 있다.
• 리액트 18의 변경된 API를 원활하게 지원한다.
• Recoil의 atom 형태의 상태 관리를 선호하지만, 아직 정식 버전이 출시되지 않아 사용이 망설여지는 많은 개발자들이 Jotai를 채택해 개발하고 있다.",2024년 1월 10일,지찬 주,5.2 리액트 훅으로 시작하는 상태 관리 ( p.349 - p. 399 )
Zustand의 특징,"• 리덕스에 영감을 받아 만들어졌다.
• 하나의 스토어를 중앙 집중형으로 활용해 이 스토어 내부에서 상태를 관리한다.
• 특별히 많은 코드를 작성하지 않아도 빠르게 스토어를 만들고 사용할 수 있다는 큰 장점이 있다.
• 라이브러리 크기가 타 API에 비해 월등히 작다. 즉, API가 복잡하지 않고 사용이 간단해 쉽게 접근할 수 있는 상태 관리 라이브러리이다.
• 타입스크립트 기반으로 작성돼 있기 때문에 별도로 @types를 설치하거나 임의로 작성된 d.ts에 대한 우려 없이 타입스크립트를 자연스럽게 쓸 수 있다.
• 리덕스와 마찬가지로 미들웨어를 지원한다.",2024년 1월 10일,지찬 주,5.2 리액트 훅으로 시작하는 상태 관리 ( p.349 - p. 399 )
라이브러리를 선택하는데에 효율적인 방법,"• 각 라이브러리별로 특징을 잘 파악하고, 현재 애플리케이션의 상황과 철학에 맞는 상태 관리 라이브러리를 적절하게 선택해 사용한다면 효율적인 애플리케이션을 만드는 데 도움이 될 것이다.
• 메인테이너가 많고 다운로드가 활발하며 이슈가 관리가 잘되고 있는 라이브러리를 선택하는 것이 좋다. 만약 이러한 대응이 원활하지 않은 라이브러리를 선택한다면 애플리케이션의 장기적인 유지보수 및 개선에 어려움이 있을 수 있다.",2024년 1월 10일,지찬 주,5.2 리액트 훅으로 시작하는 상태 관리 ( p.349 - p. 399 )
Eslint란?,• 자바스크립트 생태계에서 가장 많이 사용되는 정적 코드 분석 도구,2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
ESlint는 자바스크립트 코드를 어떻게 분석하는가?,"1. 자바스크립트 코드를 문자열로 읽는다.
2. 자바스크립트 코드를 분석할 수 있는 파서(parser)로 코드를 구조화한다.
3. 2번에서 구조화한 트리를 AST(Abstract Syntax Tree)라 하며, 이 구조화된 트리를 기준으로 각종 규칙과 대조한다.
4. 규칙과 대조했을 때 이를 위반한 코드를 알리거나(report) 수정한다(fix)",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
plugins란,• ESLint 규칙의 모음,2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
트리쉐이킹이란,"• 번들러가, 코드 어디에서도 사용하지 않는 코드(dead code, 이른바 죽은 코드)를 삭제해서 최종 번들 크기를 줄이는 과정을 의미한다. 나무의 나뭇잎을 털어낸다는 의미에서 유래했다.",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
백엔드와 프론트엔드의 테스팅방법론 차이,"• 백엔드는 보통 화이트박스 테스트, 프론트엔드는 보통 블랙박스 테스트로 진행된다.",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
테스트 코드를 작성하기 전에 봐야 할 최우선 과제는?,• 애플리케이션에서 가장 취약하거나 중요한 부분을 파악하는 것,2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
eslint-plugin과 eslint-config란,"• eslint-plugin은 규칙을 모아놓은 패키지이며, eslint-config는 eslit-plugin을 한데 묶어서 완벽하게 한 세트로 제공하는 패키지라 할 수 있다.",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
eslint-config 라이브러리중 대표적인것,"• eslint-config-airbnb 에어비엔비에서 만들어졌고 500여명의 수많은 개발자가 유지보수 하고 있다.
• @titicaca/triple_config-kit 한국 커뮤니티에서 운영되는 eslint-config 중 유지보수가 활발한 편에 속한다, 자체적으로 정의한 규칙을 기반으로 운영되고 있다.",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
eslint사용할때 주의할점,"• Prettier와의 충돌이 있을 수 있다. : ESLint에서도 Prettier에서 처리하는 작업(들여쓰기, 줄바꿈, 따옴표, 최대 글자 수 등)을 처리할 수 있기 때문에 두가지 모두를 자바스크립트 코드에서 실행한다면 서로 충돌하는 규칙으로 인해 에러가 발생하고, 최악의 경우 ESLint, Prettier 모두 만족하지 못하는 코드가 만들어질 수도 있다.",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
ESLint의 특정 규칙을 임시로 제외시키고싶다면?,• eslint-disable- 주석을 사용한다.,2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
useEffect의 사용 시 위험한 케이스 3가지,"• 의존성 배열이 없어도 괜찮다고 임의로 판단한경우 : 실제로 면밀히 검토해서 괜찮은 경우라면 해당 변수는 컴포넌트의 상태와 별개로 동작한다는 것을 의미한다. 이 경우에는 해당 변수를 어디서 어떻게 선언할지 다시 고민해 봐야한다. 정말로 괜찮다 하더라도 이러한 작업이 반복되면 정말로 괜찮지 않은 코드에서도 동일하게 사용해 버그를 야기할 위험성이 있다.
• 의존성 배열이 너무 긴 경우 : 의존성 배열이 너무 길다는 것은 useEffect 내부 함수가 너무 길다는 말과 동일하다. useEffect가 너무 길다면 useEffect를 쪼개서 의존성 배열의 가독성과 안정성을 확보해야 한다.
• 마운트 시점에 한 번만 실행하고 싶은 경우 : 가장 흔히 볼 수 있는 경우로, 의도적으로 []로 모든 의존성을 제거해 컴포넌트가 마운트되는 시점에만 실행하고 싶은 경우다. 먼저 이러한 접근 방법은 과거 클래스형 컴포넌트에서 사용되던 생명주기 형태의 접근 방법으로, 함수형 컴포넌트의 패러다임과는 맞지 않을 가능성이 있다. 또한 [] 배열이 있다는 것은 컴포넌트의 상태값과 별개의 부수 효과가 되어 컴포넌트의 상태와 불일치가 일어날 수 있게 된다. 마지막으로, 상태와 관계없이 한번만 실행돼야 하는 것이 있다면 해당 컴포넌트에 존재할 이유가 없다. 이 경우 적절한 위치로 옮기는 것이 옳다.",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
리액트 컴포넌트 테스트 순서,"1. 컴포넌트를 렌더링한다.
2. 필요하다면 컴포넌트에서 특정 액션을 수행한다.
3. 컴포넌트 렌더링과 2번의 액션을 통해 기대하는 결과와 실제 결과를 비교한다.",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
데이터셋이란,"• HTML의 특정 요소와 관련된 임의 정보를 추가할 수 있는 HTML속성이며, HTML의 특정 요소에 data-로 시작하는 속성은 무엇이든 사용할 수 있다.",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
그 외에 해볼 만한 여러가지 테스트는?,"• 유닛 테스트: 각각의 코드나 컴포넌트가 독립적으로 분리된 환경에서 의도된 대로 정확히 작동하는지 검증하는 테스트
• 통합 테스트: 유닛 테스트를 통과한 여러 컴포넌트가 묶여서 하나의 기능으로 정상적으로 작동하는지 확인하는 테스트
• 엔드 투 엔드: 흔히 E2E 테스트라 하며, 실제 사용자처럼 작동하는 로봇을 활용해 애플리케이션의 전체적인 기능을 확인하는 테스트",2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
테스트할 수 있는 방법은 여러가지가 있지만 테스트가 이뤄야 할 목표는?,• 애플리케이션이 비즈니스 요구사항을 충족하는지 확인하는 것,2024년 1월 12일,지찬 주,7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
MSW 는 언제 사용할 수 있나요?,http 요청을 모킹하여 테스트 하고 싶을 때,2024년 1월 12일,"JIN ",7.6 Next.js 환경 디버깅 하기 (461p) - 8.2 리액트 팀이 권장하는 리액트 테스트 라이브러리 (528p)
직접 작성하지 않고 유용한 액션과 깃허브 앱 가져다 쓸 수 있는곳,• MarketPlaces,2024년 1월 13일,지찬 주,9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
패키지를 구분하는 것에 의문을 제기하는 목소리,"• 번들러의 존재: devDependencies로 설치한 것이든, dependencies로 설치한 것이든 모두 node_moudles에 동일하게 설치한다. 둘의 차이는 최종 결과물에는 전혀 영향을 미치지 않는다.
• 복잡해진 개발 파이프라인
• devDependencies와 dependencies의 경계가 모호해지고있다.",2024년 1월 13일,지찬 주,9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
의존성 이슈를 방지하는 가장 좋은 방법,"• 의존성을 최소한으로 유지하는 것. 바깥에 노출되는 면적이 클수록 위협에 노출되는 확률이 커지는 것과 마찬가지로 의존성, 즉 dependencies와 node_modules의 크기가 커질수록 위협에 노출될 확률 또한 높아진다. 가능한 한 내재화할 수 있는 모듈은 내재화하고, 의존성을 최소한으로 유지하는 것이 좋다.",2024년 1월 13일,지찬 주,9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
dependabot은 이슈를 찾는 용도로만 사용하고 절대로 완벽하게 수정해준다고 맹신해서는 안되는 이유를 이 책에서는 어떻게 설명하였는가,"• 예를들면 유의적 버전에 따라 주 버전을 올리는 것은, 앞서 버전에 관해 알아본 것처럼 실제 라이브러리를 사용하는 데 많은 변경이 있을 수 있기 때문에 무작정 머지 해서는 안 된다.",2024년 1월 13일,지찬 주,9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
도커란 도커 스스로를 어떤 서비스라고 정의하는가,"• 도커는 개발자가 모던 애플리케이션을 구축, 공유, 실행하는 것을 도와줄 수 있도록 설계된 '플랫폼'이다. 도커는 지루한 설정 과정을 대신해 주므로 코드를 작성하는 일에만 집중할 수 있다.",2024년 1월 13일,지찬 주,9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
리액트 애플리케이션 빠르게 배포하는 방법,"Netlify, Vercel, DigitalOcean",2024년 1월 13일,"JIN ",9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
도커 장점,어디서든 실행 가능한 상태로 애플리케이션을 준비해둔다면 도커 이미지를 실행할 수 있는 최소한의 환경이 갖춰진 상태라면 어디서든 배포가 가능하다.,2024년 1월 13일,"JIN ",9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
유의적 버전 정의에 대해서 말해주세요,"• 주 : 기존 버전과 호환되지 않게 API가 바뀌면 올린다.
• 부 : 기존 버전과 호환되면서 새로운 기능을 추가할 때 올린다.
• 수 : 기존 버전과 호환되면서 버그를 수정한 경우 올린다.",2024년 1월 13일,"JIN ",9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
주 버전이 0인 경우는 언제 쓰는가?,초기 개발을 위해 쓴다. 안정적이지 않다.,2024년 1월 13일,"JIN ",9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
"pakage.json에서 dependencies, devDependencies, peerDependencies의 차이점","• dependencies : 프로젝트 실행을 위해 꼭 필요한 패키지
• devDependencies : 실행에는 필요하지 않지만 개발에는 필요한 패키지
• peerDependencies : 서비스보다는 라이브러리, 패키지에서 주로 쓰이며 호환을 목적으로 필요한 패키지",2024년 1월 13일,"JIN ",9. 모던 리액트 개발 도구로 개발 및 배포 환경 구축하기 ( p. 529 ) - ( p.654 )
"리액트 18 버전에서, 자동배치란?","리액트가 여러 상태 업데이트를 하나의 리렌더링으로 묶어서 성능을 향상시키는 방법을 의미한다.
예를 들어, 버튼 클릭 한 번에 두 개 이상의 state를 동시에 업데이트 한다고 가정해 보자. 자동 배치에서는 이를 하나의 리렌더링으로 묶어서 수행할 수 있다.",2024년 1월 13일,지찬 주,10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
엄격모드에서 두번씩 실행되는 이유,"함수형 프로그래밍의 원칙에 따라 리액트의 모든 컴포넌트는 항상 순수하다고 가정하기 때문에 엄격모드에서는 이것이 실제로 지켜지고 있는지, 즉 항상 순수한 결과물을 내고 있는지 개발자에게 확인시켜 주기 위해 두 번 실행한다.",2024년 1월 15일,지찬 주,10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
테어링이란,리액트에서는 하나의 state 값이 있음에도 서로 다른 값(보통 state나 props의 이전과 이후)을 기준으로 렌더링 되는 현상을 말한다.,2024년 1월 15일,지찬 주,10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
"리액트 18 버전에서, 엄격모드 뜻과 종류","- 리액트 애플리케이션에서 발생할 수도 있는 잠재적인 버그를 찾는 데 도움이 되는 컴포넌트
더 이상 안전하지 않은 특정 생명주기를 사용하는 컴포넌트에 대한 경고 : UNSAFE_가 붙은 생명주기 메서드를 사용하면 오류 발생
문자열 ref 사용 금지
findDOMNode에 대한 경고 출력
구 Context API 사용 시 발생하는 경고
예상치 못한 부작용(side-effects) 검사",2024년 1월 15일,지찬 주,10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
리액트 팀에서 버전 업을 할 때 사용자들에게 추천하는 개발 방향,"점진적 채택, 점진적 버전업이 가능하다.",2024년 1월 15일,"JIN ",10.1 리액트 17 버전 살펴보기 - 10.2 리액트 18 버전 살펴보기 ( p. 657 ) - ( p. 713)
